Batch_Idx,Avg_Reward,Loss_Job,Loss_Mch,Val_Makespan,Time
245,-365.3668,0.2416,-0.0089,0.0000,10.75
246,-378.4862,0.1510,-0.0147,0.0000,10.66
247,-371.8367,0.2247,-0.0210,0.0000,9.60
248,-355.2920,0.1209,-0.0184,0.0000,9.72
249,-381.3161,0.1201,-0.0148,0.0000,10.70
250,-335.7638,0.1564,-0.0200,0.0000,10.68
251,-356.4739,0.2045,-0.0099,0.0000,9.33
252,-357.8180,0.1536,-0.0177,0.0000,10.39
253,-365.4031,0.1915,-0.0200,0.0000,10.80
254,-385.7210,0.1435,-0.0171,0.0000,9.86
255,-384.1405,0.1661,-0.0161,0.0000,10.02
256,-359.6209,0.1248,-0.0233,0.0000,10.75
257,-367.8422,0.1805,-0.0165,0.0000,10.22
258,-361.0721,0.1716,-0.0197,0.0000,9.78
259,-357.0936,0.1392,-0.0177,359.3044,10.67
260,-366.0359,0.1075,-0.0135,0.0000,59.99
261,-363.3640,0.1039,-0.0190,0.0000,10.29
262,-379.6228,0.1168,-0.0140,0.0000,10.78
263,-382.6789,0.1434,-0.0186,0.0000,10.65
264,-391.7378,0.2305,-0.0095,0.0000,9.91
265,-354.9220,0.0994,-0.0120,0.0000,10.65
266,-366.4414,0.1176,-0.0139,0.0000,10.38
267,-358.7641,0.1531,-0.0180,0.0000,9.82
268,-387.5736,0.1677,-0.0257,0.0000,10.85
269,-348.8598,0.1856,-0.0168,0.0000,10.33
270,-392.3355,0.1923,-0.0120,0.0000,9.90
271,-373.1381,0.1818,-0.0192,0.0000,9.78
272,-364.4730,0.0999,-0.0238,0.0000,10.78
273,-358.5101,0.1024,-0.0194,0.0000,10.50
274,-331.1728,0.1727,-0.0137,0.0000,9.82
275,-346.0949,0.1067,-0.0125,0.0000,10.91
276,-349.8265,0.1293,-0.0192,0.0000,10.29
277,-374.1855,0.1352,-0.0200,0.0000,9.82
278,-369.2759,0.1746,-0.0184,0.0000,10.66
279,-356.4411,0.2084,-0.0233,366.2581,10.56
280,-362.1356,0.1720,-0.0259,0.0000,61.13
281,-353.3362,0.1263,-0.0115,0.0000,10.43
282,-381.4917,0.2939,-0.0054,0.0000,10.21
283,-395.1296,0.2064,-0.0226,0.0000,10.77
284,-373.1273,0.0931,-0.0122,0.0000,10.00
285,-386.7628,0.1154,-0.0235,0.0000,9.70
286,-383.6365,0.1265,-0.0178,0.0000,10.16
287,-422.9952,0.1118,-0.0155,0.0000,10.67
288,-378.3768,0.1586,-0.0181,0.0000,10.00
289,-349.9339,0.1498,-0.0156,0.0000,9.78
290,-392.4891,0.1484,-0.0214,0.0000,10.87
291,-353.4866,0.0994,-0.0159,0.0000,10.42
292,-378.6712,0.0939,-0.0158,0.0000,10.23
293,-390.4700,0.2211,-0.0154,0.0000,10.79
294,-364.7953,0.2225,-0.0175,0.0000,10.08
295,-335.6338,0.1234,-0.0144,0.0000,10.62
296,-362.3375,0.1271,-0.0193,0.0000,10.73
297,-369.0826,0.1297,-0.0197,0.0000,10.80
298,-380.3957,0.1392,-0.0161,0.0000,10.65
299,-449.6497,0.1158,-0.0213,365.8093,9.82
300,-354.3018,0.1312,-0.0091,0.0000,59.72
301,-379.9462,0.0972,-0.0253,0.0000,9.61
302,-378.5430,0.1392,-0.0143,0.0000,9.98
303,-388.9427,0.1255,-0.0122,0.0000,9.91
304,-408.0943,0.1566,-0.0169,0.0000,9.77
305,-354.5828,0.1378,-0.0179,0.0000,9.95
306,-364.2216,0.2177,-0.0125,0.0000,10.07
307,-380.9634,0.1805,-0.0182,0.0000,10.90
308,-368.6980,0.1116,-0.0157,0.0000,10.48
309,-372.4911,0.1088,-0.0197,0.0000,10.50
310,-346.4999,0.0849,-0.0133,0.0000,10.10
311,-370.6921,0.1067,-0.0180,0.0000,9.65
312,-363.6982,0.1122,-0.0159,0.0000,9.94
313,-365.7682,0.1143,-0.0104,0.0000,9.89
314,-375.9575,0.1528,-0.0119,0.0000,9.92
315,-342.7095,0.1347,-0.0080,0.0000,10.33
316,-365.4099,0.1213,-0.0093,0.0000,10.84
317,-348.9815,0.1654,-0.0125,0.0000,9.87
318,-335.2775,0.2689,-0.0177,0.0000,10.40
319,-337.3354,0.1369,-0.0053,354.3534,10.68
320,-354.8597,0.2158,-0.0211,0.0000,59.80
321,-337.9988,0.1451,-0.0167,0.0000,10.50
322,-359.3101,0.1480,-0.0129,0.0000,10.77
323,-367.9304,0.1108,-0.0025,0.0000,10.70
324,-381.1298,0.1322,-0.0132,0.0000,10.75
325,-340.6595,0.0970,-0.0129,0.0000,10.94
326,-367.1308,0.1124,-0.0157,0.0000,10.51
327,-378.5451,0.1846,-0.0142,0.0000,10.28
328,-361.4555,0.2096,-0.0148,0.0000,10.81
329,-358.2963,0.1002,-0.0112,0.0000,10.05
330,-351.3846,0.0666,-0.0190,0.0000,10.29
331,-372.1690,0.2140,-0.0131,0.0000,10.12
332,-381.6407,0.1159,-0.0179,0.0000,10.54
333,-334.3079,0.1635,-0.0177,0.0000,10.70
334,-369.1246,0.1213,-0.0173,0.0000,10.33
335,-353.7931,0.1371,-0.0242,0.0000,10.00
336,-363.1822,0.1636,-0.0086,0.0000,10.81
337,-380.3189,0.1205,-0.0184,0.0000,10.63
338,-366.3355,0.0971,-0.0249,0.0000,9.99
339,-359.9958,0.3529,-0.0166,357.6928,10.86
340,-370.8822,0.2406,-0.0121,0.0000,60.21
341,-339.2520,0.1338,-0.0121,0.0000,10.02
342,-363.0421,0.2424,-0.0132,0.0000,10.90
343,-366.8716,0.2171,-0.0075,0.0000,10.59
344,-340.4886,0.1989,-0.0182,0.0000,10.91
345,-372.0160,0.2154,-0.0156,0.0000,10.52
346,-356.7409,0.2713,-0.0116,0.0000,9.68
347,-356.8753,0.1672,-0.0139,0.0000,10.68
348,-352.4315,0.1411,-0.0175,0.0000,10.68
349,-349.4381,0.1583,-0.0157,0.0000,9.61
350,-360.2407,0.1672,-0.0176,0.0000,10.92
351,-361.1680,0.1932,-0.0154,0.0000,10.49
352,-344.1197,0.1386,-0.0209,0.0000,9.78
353,-347.1578,0.1240,-0.0235,0.0000,10.35
354,-374.5539,0.1642,-0.0132,0.0000,10.87
355,-355.7102,0.1831,-0.0231,0.0000,9.88
356,-365.0559,0.1690,-0.0168,0.0000,10.66
357,-351.2264,0.1265,-0.0144,0.0000,10.42
358,-376.9630,0.1340,-0.0178,0.0000,10.88
359,-369.5883,0.1788,-0.0186,386.2345,10.57
360,-339.7697,0.1883,-0.0229,0.0000,59.85
361,-360.9167,0.1126,-0.0186,0.0000,9.63
362,-351.2157,0.0982,-0.0192,0.0000,10.55
363,-347.9776,0.1532,-0.0192,0.0000,10.62
364,-347.5445,0.1031,-0.0148,0.0000,9.97
365,-375.8594,0.1114,-0.0219,0.0000,10.46
366,-388.5002,0.1238,-0.0117,0.0000,10.61
367,-379.4969,0.1124,-0.0179,0.0000,10.75
