Batch_Idx,Avg_Reward,Loss_Job,Loss_Mch,Val_Makespan,Time
227,-614.5462,0.0775,-0.0681,0.0000,10.37
228,-594.6214,0.1902,-0.0161,0.0000,10.12
229,-723.6487,0.0297,0.0455,0.0000,10.21
230,-764.3224,0.1194,0.0317,0.0000,10.64
231,-564.7168,0.0859,-0.0487,0.0000,9.89
232,-538.7887,0.0822,-0.0461,0.0000,10.00
233,-673.2800,0.0838,-0.0159,0.0000,10.28
234,-546.6541,0.0766,-0.0624,0.0000,10.26
235,-557.9908,0.0756,-0.0281,0.0000,10.00
236,-650.8899,0.0677,-0.0674,0.0000,9.98
237,-653.8844,0.0365,-0.0590,0.0000,10.12
238,-512.5095,0.0581,-0.0573,0.0000,10.17
239,-520.5994,0.0582,-0.0638,352.4404,9.94
240,-511.7781,0.0982,-0.0460,0.0000,61.08
241,-511.5382,0.1062,-0.0649,0.0000,9.70
242,-480.8539,0.0543,-0.0579,0.0000,10.34
243,-562.0467,0.0753,-0.0281,0.0000,10.33
244,-511.1377,0.1484,-0.0386,0.0000,10.02
245,-578.6109,0.2247,-0.0010,0.0000,10.22
246,-517.5988,0.1417,-0.0263,0.0000,10.30
247,-554.9238,0.1111,-0.0016,0.0000,10.18
248,-462.8926,0.1654,-0.0665,0.0000,10.03
249,-432.2812,0.1618,-0.0294,0.0000,10.34
250,-466.3188,0.0891,-0.0457,0.0000,10.66
251,-492.8896,0.1122,-0.0542,0.0000,9.63
252,-436.4720,0.0983,-0.0632,0.0000,10.14
253,-457.7651,0.1531,-0.0844,0.0000,10.35
254,-439.0766,0.0973,-0.0661,0.0000,10.26
255,-445.4568,0.0575,-0.0563,0.0000,10.25
256,-426.7135,0.0370,-0.0568,0.0000,10.43
257,-437.4695,0.1223,-0.0512,0.0000,10.48
258,-432.5091,0.0887,-0.0378,0.0000,9.98
259,-460.5206,0.0607,-0.0697,364.4697,10.30
260,-436.0539,0.1352,-0.0436,0.0000,59.15
